

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   155.00000 -0.278629E+02  0.274986E+02 -0.279016E+02  0.242423E+02 -0.442498E+01   -522.057   -620.811   -522.228     155
   156.00000 -0.307129E+02  0.277126E+02 -0.307516E+02  0.244563E+02 -0.443301E+01   -119.694   -220.457   -522.034     156
   157.00000 -0.308629E+02  0.279727E+02 -0.309016E+02  0.247164E+02 -0.444107E+01   -226.317   -247.026   -521.268     157
   158.00000 -0.308729E+02  0.282731E+02 -0.309116E+02  0.250169E+02 -0.444916E+01   -301.505   -299.506   -520.226     158
   159.00000 -0.310729E+02  0.286783E+02 -0.311117E+02  0.254220E+02 -0.445731E+01   -313.312   -338.987   -517.978     159
   160.00000 -0.310555E+02  0.291747E+02 -0.310949E+02  0.259184E+02 -0.446565E+01   -471.215   -424.430   -512.356     160
   161.00000 -0.310555E+02  0.296152E+02 -0.310944E+02  0.263589E+02 -0.447434E+01   -626.518   -526.104   -503.584     161
   162.00000 -0.310555E+02  0.300487E+02 -0.310943E+02  0.267924E+02 -0.448340E+01   -871.843   -660.912   -493.848     162
   163.00000 -0.319255E+02  0.304397E+02 -0.319643E+02  0.271834E+02 -0.449278E+01   -271.333   -497.736   -485.168     163
   164.00000 -0.319026E+02  0.309479E+02 -0.319417E+02  0.276916E+02 -0.450280E+01   -611.841   -605.748   -478.496     164
   165.00000 -0.319026E+02  0.314571E+02 -0.319417E+02  0.282008E+02 -0.451350E+01   -981.744   -814.203   -473.012     165
   166.00000 -0.319026E+02  0.319647E+02 -0.319414E+02  0.287037E+02 -0.452470E+01  -1837.456  -1206.406   -469.210     166
   167.00000 -0.319426E+02  0.324591E+02 -0.319813E+02  0.291583E+02 -0.453615E+01  -1948.783  -1855.540   -466.678     167
   168.00000 -0.319426E+02  0.329747E+02 -0.319798E+02  0.295158E+02 -0.454780E+01  -5217.544  -3179.103   -465.532     168
   169.00000 -0.319926E+02  0.334058E+02 -0.320301E+02  0.297382E+02 -0.455950E+01  -2337.932  -3708.625   -465.417     169
   170.00000 -0.319926E+02  0.338933E+02 -0.320286E+02  0.299289E+02 -0.457114E+01  -6129.915  -4387.913   -466.285     170
   171.00000 -0.319926E+02  0.344130E+02 -0.320269E+02  0.300647E+02 -0.458260E+01  -7924.138  -4882.007   -468.034     171
   172.00000 -0.319926E+02  0.349333E+02 -0.320269E+02  0.301845E+02 -0.459383E+01  -8023.424  -5086.045   -470.349     172
   173.00000 -0.319926E+02  0.354019E+02 -0.320269E+02  0.302673E+02 -0.460468E+01  -8022.163  -5328.227   -473.283     173
   174.00000 -0.323025E+02  0.356603E+02 -0.323370E+02  0.303617E+02 -0.461535E+01   -686.836  -4012.093   -476.497     174
   175.00000 -0.323025E+02  0.361675E+02 -0.323374E+02  0.306026E+02 -0.462563E+01  -2306.202  -4277.148   -480.190     175
   176.00000 -0.323025E+02  0.367036E+02 -0.323354E+02  0.307713E+02 -0.463545E+01  -5443.114  -5140.862   -484.428     176
   177.00000 -0.323225E+02  0.369271E+02 -0.323555E+02  0.308287E+02 -0.464488E+01  -3335.772  -5120.148   -490.112     177
   178.00000 -0.329426E+02  0.371235E+02 -0.329755E+02  0.309175E+02 -0.465407E+01   -415.102  -3378.384   -495.876     178
   179.00000 -0.334126E+02  0.375167E+02 -0.334456E+02  0.311936E+02 -0.466302E+01   -407.183  -2595.362   -501.520     179
   180.00000 -0.334126E+02  0.379056E+02 -0.334456E+02  0.315058E+02 -0.467175E+01   -940.523  -2535.344   -507.106     180
   181.00000 -0.340825E+02  0.383031E+02 -0.341156E+02  0.318269E+02 -0.468026E+01   -345.961  -2346.094   -512.643     181
   182.00000 -0.340825E+02  0.388323E+02 -0.341161E+02  0.322676E+02 -0.468854E+01   -902.350  -2502.466   -518.116     182
   183.00000 -0.340825E+02  0.392127E+02 -0.341148E+02  0.325636E+02 -0.469659E+01  -1637.223  -3084.713   -523.520     183
   184.00000 -0.342725E+02  0.396687E+02 -0.343048E+02  0.328677E+02 -0.470445E+01   -830.413  -3732.646   -528.861     184
   185.00000 -0.368825E+02  0.397158E+02 -0.369147E+02  0.329050E+02 -0.471211E+01   -141.750   -878.422   -534.132     185
   186.00000 -0.369125E+02  0.401029E+02 -0.369448E+02  0.332916E+02 -0.471955E+01   -356.941   -521.133   -539.325     186
   187.00000 -0.369125E+02  0.404344E+02 -0.369446E+02  0.336231E+02 -0.472677E+01   -513.440   -593.894   -544.440     187
   188.00000 -0.369725E+02  0.408728E+02 -0.370046E+02  0.340615E+02 -0.473380E+01   -645.746   -737.378   -549.490     188
   189.00000 -0.370025E+02  0.413148E+02 -0.370346E+02  0.345035E+02 -0.474064E+01   -936.029   -972.153   -554.462     189
   190.00000 -0.388926E+02  0.417377E+02 -0.389246E+02  0.349264E+02 -0.474728E+01   -173.546   -542.528   -559.346     190
   191.00000 -0.411626E+02  0.419778E+02 -0.411941E+02  0.351665E+02 -0.475373E+01   -127.394   -213.067   -564.098     191
   192.00000 -0.411626E+02  0.423430E+02 -0.411945E+02  0.355316E+02 -0.475999E+01   -258.709   -270.983   -568.678     192
   193.00000 -0.412400E+02  0.427343E+02 -0.412719E+02  0.359230E+02 -0.476607E+01   -321.386   -332.698   -573.051     193
   194.00000 -0.412400E+02  0.431955E+02 -0.412724E+02  0.363842E+02 -0.477197E+01   -444.173   -416.128   -576.884     194
   195.00000 -0.412258E+02  0.437246E+02 -0.412587E+02  0.369133E+02 -0.477775E+01   -648.507   -540.511   -579.312     195
   196.00000 -0.412258E+02  0.442861E+02 -0.412591E+02  0.374748E+02 -0.478349E+01  -1010.207   -740.295   -579.739     196
   197.00000 -0.412140E+02  0.448649E+02 -0.412399E+02  0.379323E+02 -0.478932E+01  -2388.277  -1166.033   -577.693     197
   198.00000 -0.412140E+02  0.454304E+02 -0.412369E+02  0.382720E+02 -0.479527E+01  -3757.175  -1815.822   -574.349     198
   199.00000 -0.412082E+02  0.459919E+02 -0.412278E+02  0.385282E+02 -0.480138E+01  -7334.548  -2644.494   -570.512     199
   200.00000 -0.412027E+02  0.465273E+02 -0.412219E+02  0.387235E+02 -0.480764E+01 -11300.531  -3458.606   -566.795     200
   201.00000 -0.412027E+02  0.471002E+02 -0.412219E+02  0.388891E+02 -0.481403E+01  -9223.074  -4004.107   -563.678     201
   202.00000 -0.412027E+02  0.476340E+02 -0.412219E+02  0.390214E+02 -0.482051E+01  -9081.752  -4499.573   -561.205     202
   203.00000 -0.412027E+02  0.481502E+02 -0.412219E+02  0.391329E+02 -0.482705E+01  -8634.820  -4829.192   -559.700     203
